host,provider,role,region,model,currency,unit,price_low,price_high,value_basis,value_published,rate_hourly_usd,normalization_basis,hours_per_month_used,hours_source,confidence_tier,strict_pass,dual_agreement,verify_verdict,verify_reasons,scope_verdict,country,country_source,evidence_quote,evidence_page,source_url,capture_date
paqanyway.com,Fractional CMO & Executive Coach Copenhagen | PAQ Anyway,(none),EU,Monthly,EUR,per_month,3350,,published,3350,119.72,published(3350) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 119.72 USD/h,32.5,default,high,true,agree,PASS,,include,,,"EUR 3,350 per month",https://paqanyway.com/,https://paqanyway.com/,2026-09-02
upvise.co,CRM & Marketing Operations Specialist for SaaS & tech | Upvise,(none),EU,Monthly,EUR,per_month,4950,,published,4950,176.91,published(4950) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 176.91 USD/h,32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,"From €4,950 /mo",https://www.upvise.co/pricing,https://upvise.co/,2026-09-03
upvise.co,CRM & Marketing Operations Specialist for SaaS & tech | Upvise,(none),EU,Monthly,EUR,per_month,8900,,published,8900,318.07,published(8900) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 318.07 USD/h,32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,"From €8,900 /mo",https://www.upvise.co/pricing,https://upvise.co/,2026-09-03
upvise.co,CRM & Marketing Operations Specialist for SaaS & tech | Upvise,(none),EU,Monthly,EUR,per_month,14500,,published,14500,518.21,published(14500) EUR | per_month / 32.5h (default: no hours published) | FX EUR 1.1615 USD @2026-09-03 | = 518.21 USD/h,32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,"From €14,500 /mo",https://www.upvise.co/pricing,https://upvise.co/,2026-09-03
chiefofstaff.quest,Chief of Staff Recruitment Agency UK | Specialist CoS Search - London,(none),UK,Day,GBP,per_day,600,1200,midpoint,900,151.84,"midpoint(600,1200)=900 GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 151.84 USD/h",,,low,false,disagree:4offers,REJECT,not_own_price,include,,,"£600 - £1,200/day",https://chiefofstaff.quest/,https://chiefofstaff.quest/,2026-09-02
gomvp.co.uk,MVP Strategy & Tech Consulting for UK Founders | GoMVP,(none),UK,Day,GBP,per_day,450,,published,450,75.92,published(450) GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 75.92 USD/h,,,high,true,agree,PASS,,include,GB,cctld,From £450/day,https://gomvp.co.uk/,https://gomvp.co.uk/,2026-09-03
interim.quest,"Interim Quest - a proven interim leader, in the building in days",(none),UK,Day,GBP,per_day,900,1800,midpoint,1350,227.76,"midpoint(900,1800)=1350 GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 227.76 USD/h",,,high,true,agree,PASS,,include,,,"£900-£1,800 /DAY",https://interim.quest/,https://interim.quest/,2026-09-01
interim.quest,"Interim Quest - a proven interim leader, in the building in days",(none),UK,Day,GBP,per_day,850,1600,midpoint,1225,206.68,"midpoint(850,1600)=1225 GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 206.68 USD/h",,,high,true,agree,PASS,,include,,,"£850-£1,600 /DAY",https://interim.quest/,https://interim.quest/,2026-09-01
interim.quest,"Interim Quest - a proven interim leader, in the building in days",(none),UK,Day,GBP,per_day,1000,1800,midpoint,1400,236.20,"midpoint(1000,1800)=1400 GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 236.20 USD/h",,,high,true,agree,PASS,,include,,,"£1,000-£1,800 /DAY",https://interim.quest/,https://interim.quest/,2026-09-01
interim.quest,"Interim Quest - a proven interim leader, in the building in days",(none),UK,Day,GBP,per_day,900,1700,midpoint,1300,219.33,"midpoint(900,1700)=1300 GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 219.33 USD/h",,,high,true,agree,PASS,,include,,,"£900-£1,700 /DAY",https://interim.quest/,https://interim.quest/,2026-09-01
interim.quest,"Interim Quest - a proven interim leader, in the building in days",(none),UK,Day,GBP,per_day,750,1300,midpoint,1025,172.93,"midpoint(750,1300)=1025 GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 172.93 USD/h",,,high,true,agree,PASS,,include,,,"£750-£1,300 /DAY",https://interim.quest/,https://interim.quest/,2026-09-01
interim.quest,"Interim Quest - a proven interim leader, in the building in days",(none),UK,Day,GBP,per_day,700,1300,midpoint,1000,168.71,"midpoint(700,1300)=1000 GBP | per_day / 8h (declared 8-hour day) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 168.71 USD/h",,,high,true,agree,PASS,,include,,,"£700-£1,300 /DAY",https://interim.quest/,https://interim.quest/,2026-09-01
unlockgrowth.co.uk,Unlock Growth | Strategic Growth Marketing Partner | Edinburgh,(none),UK,Hourly,GBP,per_hour,145,,published,145,195.71,published(145) GBP | per_hour as captured | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 195.71 USD/h,,,high,true,agree,PASS,,include,GB,cctld,My flexible packages start at £145 per hour,https://unlockgrowth.co.uk/,https://unlockgrowth.co.uk/,2026-09-02
flairrepublic.co.uk,Fractional CMO Agency for Proven Results | Marketing Strategy,(none),UK,Monthly,GBP,per_month,4000,8000,midpoint,6000,249.18,"midpoint(4000,8000)=6000 GBP | per_month / 32.5h (default: no hours published) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 249.18 USD/h",32.5,default,low,false,disagree:2offers,REJECT,not_own_price,include,GB,cctld,"£4,000 to £8,000 per month",https://flairrepublic.co.uk/,https://flairrepublic.co.uk/,2026-09-02
natterjack-consulting.co.uk,Fractional Chief Growth Officer North West | Natterjack | Simon Mogford,(none),UK,Monthly,GBP,per_month,1500,,published,1500,62.29,published(1500) GBP | per_month / 32.5h (default: no hours published) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 62.29 USD/h,32.5,default,high,true,agree,PASS,,include,GB,cctld,"From £1,500/month, scaled to what you need.",https://natterjack-consulting.co.uk/,https://natterjack-consulting.co.uk/,2026-09-03
rjk.info,Fractional & Interim CIO | CISO | CTO | Richard Keenlyside,(none),UK,Monthly,GBP,per_month,750,,published,750,31.15,published(750) GBP | per_month / 32.5h (default: no hours published) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 31.15 USD/h,32.5,default,medium,false,agree,REJECT,not_own_price,include,,,£750 / month retainer,https://rjk.info/,https://rjk.info/,2026-09-02
scaled.co.uk,Scaled | We Make B2B Businesses More Valuable,(none),UK,Monthly,GBP,per_month,2000,,published,2000,83.06,published(2000) GBP | per_month / 32.5h (default: no hours published) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 83.06 USD/h,32.5,default,high,true,agree,PASS,,include,GB,cctld,"Our consulting work starts at jus £2,000 per month",https://scaled.co.uk/,https://scaled.co.uk/,2026-09-02
scalewithcfo.com,"Fractional CFO for SaaS, AI & Tech Founders",(none),UK,Monthly,GBP,per_month,2000,5000,midpoint,3500,145.35,"midpoint(2000,5000)=3500 GBP | per_month / 32.5h (default: no hours published) | FX GBP 1.349718203474522107954215327 USD @2026-09-03 | = 145.35 USD/h",32.5,default,high,true,agree,PASS,,include,,,"£2,000 to £5,000 per month at every stage",https://scalewithcfo.com/,https://scalewithcfo.com/,2026-09-02
cast-usa.com,Atlanta Recruitment Agency | Hire Supply Chain Talent & Find a Job - Cast USA,(none),US,Day,USD,per_day,1200,1200,published,1200,150.00,published(1200) USD | per_day / 8h (declared 8-hour day) | FX USD 1 USD @2026-09-03 | = 150.00 USD/h,,,high,true,agree,PASS,,include,,,"$1,200 per day",https://cast-usa.com/,https://cast-usa.com/,2026-09-02
doubleuadvisors.com,How to Scale a Business | Fractional Leadership Support,(none),US,Day,USD,per_day,2000,,published,2000,250.00,published(2000) USD | per_day / 8h (declared 8-hour day) | FX USD 1 USD @2026-09-03 | = 250.00 USD/h,,,medium,false,agree,REJECT,not_own_price,include,,,"Investment Starting At: $ 2,000 per day",https://doubleuadvisors.com/services/,https://doubleuadvisors.com/,2026-09-03
theartisans.com.au,Fractional COO Services | Business Growth Solutions in Australi,(none),US,Day,USD,per_day,2497,,published,2497,312.13,published(2497) USD | per_day / 8h (declared 8-hour day) | FX USD 1 USD @2026-09-03 | = 312.13 USD/h,,,low,false,disagree:3offers,REJECT,not_own_price,include,AU,cctld,Half Day Workshops or Team Trainings | $2497 + GST,https://theartisans.com.au/services/design-your-own-support-package/,https://theartisans.com.au/,2026-09-02
findfractionaljobs.com,Home - Fractional Jobs Board,(none),US,Hourly,USD,per_hour,40,50,midpoint,45,45.00,"midpoint(40,50)=45 USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 45.00 USD/h",,,medium,false,agree,REJECT,not_own_price,include,,,$40-$50/Hour,https://findfractionaljobs.com/,https://findfractionaljobs.com/,2026-09-01
fractionalcoo.net,Fractional COO,(none),US,Hourly,USD,per_hour,250,250,published,250,250.00,published(250) USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 250.00 USD/h,,,low,false,disagree:5offers,REJECT,not_own_price,include,,,$250 / per hour,https://www.fractionalcoo.net/services,https://fractionalcoo.net/,2026-09-03
fractionalctonow.com,Fractional CTO Now,(none),US,Hourly,USD,per_hour,150,500,midpoint,325,325.00,"midpoint(150,500)=325 USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 325.00 USD/h",,,low,false,disagree:1offers,REJECT,not_own_price,include,,,$150 to $500 per hour,https://fractionalctonow.com/services,https://fractionalctonow.com/,2026-09-02
kledigital.com,"Marketing Consultant Melbourne | Google Ads, SEO & Meta Ads",(none),US,Hourly,USD,per_hour,150,,published,150,150.00,published(150) USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 150.00 USD/h,,,low,false,disagree:3offers,REJECT,not_own_price,include,,,From $150/hr,https://kledigital.com/,https://kledigital.com/,2026-09-02
luminspiregroup.com,Luminspire Group | Achieve Leadership Clarity,(none),US,Hourly,USD,per_hour,200,,published,200,200.00,published(200) USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 200.00 USD/h,,,low,false,disagree:5offers,REJECT,not_own_price,include,,,$200 per hour,https://luminspiregroup.com/services,https://luminspiregroup.com/,2026-09-02
nikhilgarg510.com,"Nikhil Garg: SaaS Builder, Zero to Launch in 8 Weeks",(none),US,Hourly,USD,per_hour,40,,published,40,40.00,published(40) USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 40.00 USD/h,,,low,false,disagree:4offers,REJECT,not_own_price,include,,,$40 /hour · starting rate,https://nikhilgarg510.com/,https://nikhilgarg510.com/,2026-09-02
theartisans.com.au,Fractional COO Services | Business Growth Solutions in Australi,(none),US,Hourly,USD,per_hour,477,,published,477,477.00,published(477) USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 477.00 USD/h,,,low,false,disagree:3offers,REJECT,not_own_price,include,AU,cctld,1 Hour Sessions | $477 + GST,https://theartisans.com.au/services/design-your-own-support-package/,https://theartisans.com.au/,2026-09-02
unluckyumbrella.com,Unlucky Umbrella Studio,(none),US,Hourly,USD,per_hour,75,,published,75,75.00,published(75) USD | per_hour as captured | FX USD 1 USD @2026-09-03 | = 75.00 USD/h,,,low,false,disagree:2offers,REJECT,not_own_price,include,,,$75 per hour,https://unluckyumbrella.com/services/graphic-design,https://unluckyumbrella.com/,2026-09-03
360integralmarketing.com,360 Integral Marketing Agency,(none),US,Monthly,USD,per_month,3000,15000,midpoint,9000,276.92,"midpoint(3000,15000)=9000 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 276.92 USD/h",32.5,default,medium,false,agree,REJECT,not_own_price,include,,,$3K - $15K per month,https://360integralmarketing.com/fractional-cmo-costs-roi-mid-sized-business-2025/,https://360integralmarketing.com/,2026-09-01
512financial.com,"512Financial | Fractional CFOs, Accounting & HR Leadership",(none),US,Monthly,USD,per_month,9000,21000,midpoint,15000,461.54,"midpoint(9000,21000)=15000 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 461.54 USD/h",32.5,default,high,true,agree,PASS,,include,,,"$9,000 to $21,000 a month",https://512financial.com/,https://512financial.com/,2026-09-03
baronbelalov.com,Baron Belalov | Fractional CMO in Toronto,(none),US,Monthly,USD,per_month,7500,20000,midpoint,13750,423.08,"midpoint(7500,20000)=13750 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 423.08 USD/h",32.5,default,high,true,agree,PASS,,include,,,"hands-on fractional CMO work $7,500-$20,000+ per month",https://baronbelalov.com/services,https://baronbelalov.com/,2026-09-02
baronbelalov.com,Baron Belalov | Fractional CMO in Toronto,(none),US,Monthly,USD,per_month,3000,4500,midpoint,3750,115.38,"midpoint(3000,4500)=3750 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 115.38 USD/h",32.5,default,medium,false,agree,REJECT,not_own_price,include,,,"$3,000-$4,500 per month",https://baronbelalov.com/services,https://baronbelalov.com/,2026-09-02
beyondcto.com,"Amazon Brand Management Agency, Flat-Rate | BeyondCTO",(none),US,Monthly,USD,per_month,1495,,published,1495,46.00,published(1495) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 46.00 USD/h,32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,"Growth $1,495 /mo flat",https://beyondcto.com/,https://beyondcto.com/,2026-09-03
bjmgroup.co.uk,BJM Group | Group of Accounting Firms in UK,(none),US,Monthly,USD,per_month,3000,15000,midpoint,9000,276.92,"midpoint(3000,15000)=9000 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 276.92 USD/h",32.5,default,medium,false,agree,REJECT,not_own_price,include,GB,cctld,"rates range from $3,000 to $15,000 per month.",https://bjmgroup.co.uk/fractional-cfo-services/,https://bjmgroup.co.uk/,2026-09-02
bumerang.ca,Bumerang Digital Marketing Agency in Vancouver | 2026,(none),US,Monthly,USD,per_month,3000,15000,midpoint,9000,276.92,"midpoint(3000,15000)=9000 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 276.92 USD/h",32.5,default,medium,false,agree,REJECT,not_own_price,include,CA,cctld,"Most businesses invest between $3,000 and $15,000 per month for Fractional CMO services",https://bumerang.ca/digital-marketing-services/fractional-cmo/,https://bumerang.ca/,2026-09-02
c4solutionsllc.com,MSP and Tech Growth Partner | C4 Solutions,(none),US,Monthly,USD,per_month,599,,published,599,18.43,published(599) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 18.43 USD/h,32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,$599 /month starting,https://c4solutionsllc.com/,https://c4solutionsllc.com/,2026-09-02
cayk.ca,Calgary Marketing Agency | Digital Marketing Agency CAYK,(none),US,Monthly,USD,per_month,2000,,published,2000,61.54,published(2000) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 61.54 USD/h,32.5,default,low,false,disagree:2offers,REJECT,not_own_price,include,CA,cctld,"minimum client engagement size of $2,000 per month",https://cayk.ca/,https://cayk.ca/,2026-09-02
cfo.ventures,"Fractional CFO in Dubai, UAE, Saudi Arabia & MENA | المدير المالي الجزئي",(none),US,Monthly,USD,per_month,1900,,published,1900,58.46,published(1900) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 58.46 USD/h,32.5,default,medium,false,agree,REJECT,not_own_price,include,,,$ 1900 /mo,https://www.cfo.ventures/pricing,https://cfo.ventures/,2026-09-02
cfo.ventures,"Fractional CFO in Dubai, UAE, Saudi Arabia & MENA | المدير المالي الجزئي",(none),US,Monthly,USD,per_month,2500,,published,2500,76.92,published(2500) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 76.92 USD/h,32.5,default,medium,false,agree,REJECT,not_own_price,include,,,$ 2500 /mo,https://www.cfo.ventures/pricing,https://cfo.ventures/,2026-09-02
chaddperry.com,Explosive SaaS Growth with Expert CMO Chad Perry,(none),US,Monthly,USD,per_month,5000,,published,5000,153.85,published(5000) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 153.85 USD/h,32.5,default,high,true,agree,PASS,,include,,,"Starting : $5,000 per month",https://chaddperry.com/,https://chaddperry.com/,2026-09-02
chaddperry.com,Explosive SaaS Growth with Expert CMO Chad Perry,(none),US,Monthly,USD,per_month,1750,,published,1750,53.85,published(1750) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 53.85 USD/h,32.5,default,high,true,agree,PASS,,include,,,"Starting : $1,750 per month",https://chaddperry.com/,https://chaddperry.com/,2026-09-02
chaddperry.com,Explosive SaaS Growth with Expert CMO Chad Perry,(none),US,Monthly,USD,per_month,2500,,published,2500,76.92,published(2500) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 76.92 USD/h,32.5,default,high,true,agree,PASS,,include,,,"Starting : $2,500 per month",https://chaddperry.com/,https://chaddperry.com/,2026-09-02
cojoyrevgen.com,Fractional CRO and Revenue Architect for Series B+ B2B Companies,(none),US,Monthly,USD,per_month,25000,,published,25000,769.23,published(25000) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 769.23 USD/h,32.5,default,low,false,disagree:2offers,REJECT,not_own_price,include,,,$25k / MONTH,https://cojoyrevgen.com/services,https://cojoyrevgen.com/,2026-09-03
cojoyrevgen.com,Fractional CRO and Revenue Architect for Series B+ B2B Companies,(none),US,Monthly,USD,per_month,35000,,published,35000,1076.92,published(35000) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 1076.92 USD/h,32.5,default,low,false,disagree:2offers,REJECT,not_own_price,include,,,$35k / MONTH,https://cojoyrevgen.com/services,https://cojoyrevgen.com/,2026-09-03
eclipticideas.com,Ecliptic Ideas | We Become Your Technical Department,(none),US,Monthly,USD,per_month,50000,,published,50000,1538.46,published(50000) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 1538.46 USD/h,32.5,default,high,true,agree,PASS,,include,,,$50k+ / month,https://eclipticideas.com/,https://eclipticideas.com/,2026-09-02
fletcherconsulting.com,"Fractional CMO for Manufacturers | Marketing Strategies & Rebranding Services - Terra L. Fletcher, Fractional CMO takes marketing off your to-do list. Part-time, senior-level marketing strategy partne",(none),US,Monthly,USD,per_month,5000,,published,5000,153.85,published(5000) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 153.85 USD/h,32.5,default,medium,false,agree,REJECT,not_own_price,include,,,"Starting at $5,000/month",https://www.fletcherconsulting.com/services/,https://fletcherconsulting.com/,2026-09-02
fletcherconsulting.com,"Fractional CMO for Manufacturers | Marketing Strategies & Rebranding Services - Terra L. Fletcher, Fractional CMO takes marketing off your to-do list. Part-time, senior-level marketing strategy partne",(none),US,Monthly,USD,per_month,6500,,published,6500,200.00,published(6500) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 200.00 USD/h,32.5,default,medium,false,agree,REJECT,not_own_price,include,,,"Starting at $6,500/month",https://www.fletcherconsulting.com/services/,https://fletcherconsulting.com/,2026-09-02
fractionalchiefs.com,FractionalChiefs - Find & Hire Fractional Executives,(none),US,Monthly,USD,per_month,6000,15000,midpoint,10500,323.08,"midpoint(6000,15000)=10500 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 323.08 USD/h",32.5,default,medium,false,agree,REJECT,not_own_price,include,,,"A fractional CHRO costs $6,000-$15,000/month",https://fractionalchiefs.com/,https://fractionalchiefs.com/,2026-09-03
fractionalcoo.net,Fractional COO,(none),US,Monthly,USD,per_month,15000,40000,midpoint,27500,846.15,"midpoint(15000,40000)=27500 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 846.15 USD/h",32.5,default,low,false,disagree:5offers,REJECT,not_own_price,include,,,"$15K-$40K/month Pricing based on company stage, team size, and scope.",https://fractionalcoo.net/,https://fractionalcoo.net/,2026-09-03
fractionalctonow.com,Fractional CTO Now,(none),US,Monthly,USD,per_month,5000,20000,midpoint,12500,384.62,"midpoint(5000,20000)=12500 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 384.62 USD/h",32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,"anywhere from $5,000 to $20,000 per month",https://fractionalctonow.com/services,https://fractionalctonow.com/,2026-09-02
fractionalexec.com,FractionalExec,(none),US,Monthly,USD,per_month,8000,20000,midpoint,14000,430.77,"midpoint(8000,20000)=14000 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 430.77 USD/h",32.5,default,low,false,disagree:1offers,REJECT,not_own_price,include,,,$8K-$20K /mo,https://fractionalexec.com/,https://fractionalexec.com/,2026-09-02
fractionalmarketing.ca,ROBYN PINEAULT | Fractional CMO Services,(none),US,Monthly,USD,per_month,5000,12000,midpoint,8500,261.54,"midpoint(5000,12000)=8500 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 261.54 USD/h",32.5,default,medium,false,agree,REJECT,not_own_price,include,CA,cctld,"$5,000 - $12,000 / month.",https://fractionalmarketing.ca/,https://fractionalmarketing.ca/,2026-09-02
fractionalpros.com,Home - Fractional Pros,(none),US,Monthly,USD,per_month,500,,published,500,15.38,published(500) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 15.38 USD/h,32.5,default,medium,false,agree,REJECT,not_own_price,include,,,$ 500 / Month,https://fractionalpros.com/plans/membership/,https://fractionalpros.com/,2026-09-02
golosnichenko.com,Fractional CTO - Anton Golosnichenko,(none),US,Monthly,USD,per_month,4400,,published,4400,135.38,published(4400) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 135.38 USD/h,32.5,default,medium,false,agree,REJECT,not_own_price,include,,,"$4,400/month",https://golosnichenko.com/,https://golosnichenko.com/,2026-09-02
hirefractional.io,"HireFractional - Find Fractional Executives (CFO, CTO, CMO, COO)",(none),US,Monthly,USD,per_month,599,599,published,599,18.43,published(599) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 18.43 USD/h,32.5,default,high,true,agree,PASS,,include,,,Elite $ 599 /mo,https://hirefractional.io/pricing,https://hirefractional.io/,2026-09-02
houstonitdevelopers.com,Mobile App & Software Development Company | Houston IT Developers,(none),US,Monthly,USD,per_month,1500,,published,1500,46.15,published(1500) USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 46.15 USD/h,32.5,default,low,false,disagree:3offers,REJECT,not_own_price,include,,,"$1,500/mo for dedicated developers",https://houstonitdevelopers.com/pricing,https://houstonitdevelopers.com/,2026-09-02
kledigital.com,"Marketing Consultant Melbourne | Google Ads, SEO & Meta Ads",(none),US,Monthly,USD,per_month,500,3000,midpoint,1750,53.85,"midpoint(500,3000)=1750 USD | per_month / 32.5h (default: no hours published) | FX USD 1 USD @2026-09-03 | = 53.85 USD/h",32.5,default,low,false,disagree:3offers,REJECT,not_own_price,include,,,"Marketing Retainer $500-$3,000/mo flexible retainer",https://kledigital.com/pricing,https://kledigital.com/,2026-09-02
