host,offer_seq,captured_hours_included,evidence_quote,verdict,basis,stated_low,stated_high,open_ended,hours_per_month,note
tucksoftwaregroup.com,4,55.0,Fixed hours of consultation (55 hours),accept,hours_per_month,55,,no,55.00,
tucksoftwaregroup.com,5,60.0,"Unfixed, prioritized hours of consultation (60+ hours)",accept,hours_per_month,60,,yes,60.00,
contineofy.com,2,80.0,80 hours per month,accept,hours_per_month,80,,no,80.00,
contineofy.com,3,120.0,120 hours per month,accept,hours_per_month,120,,no,120.00,
talpaperin.com,0,3.0,About 3 hours a week,accept,hours_per_week,3,,no,13.00,
gofractional.com,0,5.0,5-10 hrs/week,accept,hours_per_week,5,10,no,32.50,
hypernestlabs.com,0,5.0,5-10 hrs/week,accept,hours_per_week,5,10,no,32.50,
hypernestlabs.com,1,5.0,Strategic Advisory $3K-$8K /month 5-10 hrs/week,accept,hours_per_week,5,10,no,32.50,
misnomer.co,0,6.0,Board-ready 6 to 9 hrs / week,accept,hours_per_week,6,9,no,32.50,
erikalpurcell.com,0,10.0,10 hours per week,accept,hours_per_week,10,,no,43.33,
flexexec.io,0,10.0,10-20 hours/week typical,accept,hours_per_week,10,20,no,65.00,
fractionalleader.io,1,10.0,10-20 h / wk,accept,hours_per_week,10,20,no,65.00,
misnomer.co,1,10.0,10 to 15 hrs / week,accept,hours_per_week,10,15,no,54.17,
rankedcmo.com,0,10.0,10-20 hours per week,accept,hours_per_week,10,20,no,65.00,
thefractionalproductmanager.com,0,10.0,Approximately 10 hours per week,accept,hours_per_week,10,,no,43.33,
hypernestlabs.com,2,15.0,Embedded CTO $8K-$15K /month 15-20 hrs/week,accept,hours_per_week,15,20,no,75.83,
misnomer.co,2,16.0,16 to 25 hrs / week,accept,hours_per_week,16,25,no,88.83,
thefractionalproductmanager.com,1,20.0,Approximately 20 hours per week,accept,hours_per_week,20,,no,86.67,
kore1.com,1,25.0,15 to 25 hours per week,accept,hours_per_week,15,25,no,86.67,
misnomer.co,3,25.0,25+ hrs / week,accept,hours_per_week,25,,yes,108.33,
prodevel.co.uk,0,2.0,2 days/month,accept,days_per_month,2,,no,16.00,
prodevel.co.uk,1,4.0,4 days/month,accept,days_per_month,4,,no,32.00,
prodevel.co.uk,2,6.0,6 days/month,accept,days_per_month,6,,no,48.00,
