name,raw,source_report
The Fractional Directory,"The Fractional Directory | Directory | New Zealand, Singapore, Western Australia | [fractional.directory](https://www.fractional.directory/) | No public pricing found | ",chatgpt-discovery
Mirahi,Mirahi | Software / fractional CTO boutique | Belgium and Netherlands | [mirahi.io](https://mirahi.io/) | No public pricing found | ,chatgpt-discovery
Struct,"Struct | Technology leadership consultancy | Melbourne, Australia | [struct.com.au](https://struct.com.au/) | No public pricing found | ",chatgpt-discovery
int32,int32 | Independent fractional CTO practice | Austria / Europe | [int32.at](https://www.int32.at/) | No public pricing found | ,chatgpt-discovery
OK200,"OK200 | Technology consultancy / fractional CTO | Melbourne, Australia | [ok200.net](https://ok200.net/) | No public pricing found | ",chatgpt-discovery
BEC System,BEC System | Technology services / fractional CTO | Latin America | [becsystem.tech](https://becsystem.tech/) | No public pricing found | ,chatgpt-discovery
Fika CTO,Fika CTO | Independent-led CTO service | Not clearly stated | [fikacto.com](https://www.fikacto.com/) | No public pricing found | ,chatgpt-discovery
FractionalCTOs Australia,"FractionalCTOs Australia | Specialist fractional CTO practice | Australia | [fractionalctos.com.au](https://fractionalctos.com.au/) | **Benchmark/guide only**, not a clearly stated provider quote | [Australian CTO cost guide](https://fractionalctos.com.au/fractional-cto-cost-australia-2026/)",chatgpt-discovery
Pocket CTO Partners,Pocket CTO Partners | Specialist CTO advisory boutique | Not clearly stated | [pocketctopartners.com](https://www.pocketctopartners.com/) | No public pricing found | ,chatgpt-discovery
Ledger One CFO,"Ledger One CFO | Fractional CFO boutique | Not clearly stated | [ledgeronecfo.com](https://ledgeronecfo.com/) | **Yes, provider/service** citeturn0search29 | [Pricing](https://ledgeronecfo.com/pricing/)",chatgpt-discovery
Lucrum Consulting,"Lucrum Consulting | Fractional finance consultancy | U.S. | [lucrumconsulting.com](https://lucrumconsulting.com/) | **Yes, provider/service** citeturn3search5 | [Fractional CFO pricing](https://lucrumconsulting.com/fractional-cfo-pricing/)",chatgpt-discovery
Burkland,"Burkland | Startup finance and fractional-CFO firm | U.S. | [burklandassociates.com](https://burklandassociates.com/) | **Yes, provider/service** citeturn18search4 | [Fractional CFO services and tiers](https://burklandassociates.com/services/fractional-cfo/)",chatgpt-discovery
Flow Partners,"Flow Partners | Tech-startup finance boutique | UK and Continental Europe | [flowpartners.io](https://flowpartners.io/) | **Yes, provider/service** citeturn18search5turn18search21 | [London pricing example](https://flowpartners.io/fractional-cfo/united-kingdom/london)",chatgpt-discovery
Scale Suite,"Scale Suite | Fractional finance firm, SMEs and startups | Australia | [scalesuite.com.au](https://www.scalesuite.com.au/) | **Yes, provider/service** citeturn18search10 | [Fractional CFO ROI/pricing page](https://www.scalesuite.com.au/tools/fractional-cfo-roi-calculator)",chatgpt-discovery
FD Capital,"FD Capital | Fractional/interim CFO network and recruitment | UK | [fdcapital.co.uk](https://www.fdcapital.co.uk/) | **Yes, provider/service** citeturn3search23 | [Fractional CFO](https://www.fdcapital.co.uk/fractional-cfo/)",chatgpt-discovery
DaxHive,"DaxHive | Back-office platform, real estate and construction focus | U.S. | [daxhive.com](https://daxhive.com/) | **Yes, provider/service** citeturn18search7turn18search39 | [Fractional CFO](https://daxhive.com/fractional-cfo)",chatgpt-discovery
The CFO Agency,"The CFO Agency | Boutique fractional CFO and accounting | Melbourne / Australia | [thecfoagency.com.au](https://thecfoagency.com.au/) | No public provider-specific pricing found; cost content does not clearly quote its own engagement | [Cost guide, not counted as own pricing](https://thecfoagency.co",chatgpt-discovery
CFO On Call,CFO On Call | Fractional / outsourced CFO network | Australia and New Zealand | [cfooncall.com.au](https://cfooncall.com.au/) | No public exact pricing found; site describes fixed-retainer approach without a public amount citeturn14search4turn14search12 | ,chatgpt-discovery
The CFO Centre,The CFO Centre | Fractional CFO network | Global | [cfocentre.com](https://www.cfocentre.com/) | No public pricing found | ,chatgpt-discovery
Preferred CFO,Preferred CFO | Fractional CFO firm | U.S. | [preferredcfo.com](https://preferredcfo.com/) | No public provider-specific pricing found | ,chatgpt-discovery
Kruze Consulting,Kruze Consulting | Startup accounting and CFO services | U.S. | [kruzeconsulting.com](https://kruzeconsulting.com/) | No public provider-specific CFO price found | ,chatgpt-discovery
Graphite Financial,Graphite Financial | Startup accounting / finance and CFO services | U.S. | [graphitefinancial.com](https://www.graphitefinancial.com/) | No public provider-specific CFO price found | ,chatgpt-discovery
Pilot,Pilot | Startup finance platform with CFO services | U.S. | [pilot.com](https://pilot.com/) | No public provider-specific fractional-CFO price found | ,chatgpt-discovery
FocusCFO,FocusCFO | Fractional CFO network | U.S. | [focuscfo.com](https://focuscfo.com/) | No public pricing found | ,chatgpt-discovery
NOW CFO,NOW CFO | Outsourced finance and CFO firm | U.S. | [nowcfo.com](https://nowcfo.com/) | No public pricing found | ,chatgpt-discovery
B2B CFO,B2B CFO | Independent CFO-partner network | U.S. | [b2bcfo.com](https://www.b2bcfo.com/) | No public pricing found | ,chatgpt-discovery
CFO Selections,"CFO Selections | Fractional / interim finance leadership | Pacific Northwest, U.S. | [cfoselections.com](https://www.cfoselections.com/) | No public pricing found | ",chatgpt-discovery
Paro,Paro | Finance and accounting talent marketplace | U.S. | [paro.ai](https://paro.ai/) | No public fractional-CFO rate found | ,chatgpt-discovery
Standard Ledger,Standard Ledger | Startup accounting and fractional CFO | UK | [standardledger.co](https://www.standardledger.co/) | No public pricing found | ,chatgpt-discovery
Unison Direct,Unison Direct | Virtual / fractional CFO services | Australia | [unisondirect.com](https://unisondirect.com/) | No public pricing found | ,chatgpt-discovery
LiftBridge CFO,"LiftBridge CFO | Fractional CFO boutique, including SaaS | Not clearly stated | [liftbridgecfo.com](https://liftbridgecfo.com/) | No public pricing found | ",chatgpt-discovery
Dolfinn,Dolfinn | Finance outsourcing / fractional CFO | India plus international markets | [dolfinn.in](https://dolfinn.in/) | No public pricing found | ,chatgpt-discovery
Goldman Wolfe,"Goldman Wolfe | Fractional CFO boutique, SaaS and software | U.S. | [goldmanwolfe.com](https://www.goldmanwolfe.com/) | No public pricing found | ",chatgpt-discovery
OGS Capital,OGS Capital | Business-planning and CFO consultancy | U.S. / international | [ogscapital.com](https://ogscapital.com/) | No public pricing found | ,chatgpt-discovery
Rock CFO,"Rock CFO | Independent-led fractional CFO practice | Kansas City, U.S. | [rockcfo.com](https://rockcfo.com/) | **Benchmark/guide only**, no clearly published own rate | [Fractional CFO pricing guide](https://rockcfo.com/fractional-cfo-cost-pricing-guide/)",chatgpt-discovery
MB Accounting Group,"MB Accounting Group | Accounting / fractional CFO services | U.S. | [mbaccountinggroup.com](https://mbaccountinggroup.com/) | **Benchmark/guide only**, no clearly published own rate | [Fractional CFO cost guide](https://mbaccountinggroup.com/fractional-cfo-cost-small-business/)",chatgpt-discovery
Finsightic,"Finsightic | Fractional finance / CFO consultancy | Not clearly stated | [finsightic.com](https://finsightic.com/) | **Benchmark/guide only**, no clearly published own rate | [Cost guide](https://finsightic.com/blog-how-much-does-fractional-cfo-cost)",chatgpt-discovery
The Geisheker Group,"The Geisheker Group | Independent-led fractional CMO firm | U.S. | [geisheker.com](https://www.geisheker.com/) | **Yes, provider/service** citeturn12search0 | [Fractional CMO pricing](https://www.geisheker.com/fractional-cmo-pricing/)",chatgpt-discovery
Simon Fractional,"Simon Fractional | Independent-led, B2B SaaS | Not clearly stated | [simonfractional.com](https://simonfractional.com/) | **Yes, provider/service** citeturn4search28 | [Pricing](https://simonfractional.com/pricing/)",chatgpt-discovery
Aaron Zakowski,"Aaron Zakowski | Independent practitioner | Not clearly stated | [aaronzakowski.com](https://aaronzakowski.com/) | **Yes, provider/service** citeturn12search2 | [Pricing](https://aaronzakowski.com/pricing/)",chatgpt-discovery
Shanjay,"Shanjay | Independent fractional CMO | UK | [shanjay.com](https://www.shanjay.com/) | **Yes, provider/service** citeturn0search14 | [Rates](https://www.shanjay.com/rates)",chatgpt-discovery
FlexExec,"FlexExec | Fractional-executive service / network | U.S. / remote | [flexexec.io](https://flexexec.io/) | **Yes, provider/service** citeturn12search3 | [Fractional CMO](https://flexexec.io/fractional-cmo/)",chatgpt-discovery
Whtnxt,"Whtnxt | Growth / marketing boutique | Not clearly stated | [whtnxt.io](https://whtnxt.io/) | **Yes, provider/service** citeturn12search7 | [Pricing](https://whtnxt.io/pricing/)",chatgpt-discovery
DNA Leads,"DNA Leads | B2B growth and fractional CMO boutique | U.S. | [dnaleads.com](https://dnaleads.com/) | **Yes, provider/service** citeturn12search18 | [Pricing plans](https://dnaleads.com/pricing-plans/)",chatgpt-discovery
Jolly Marketer,"Jolly Marketer | Fractional marketing boutique | Berlin / DACH | [jollymarketer.com](https://www.jollymarketer.com/) | **Yes, provider/service** | [Fractional CMO pricing models](https://www.jollymarketer.com/en/fractional-cmo-pricing-models-germany/)",chatgpt-discovery
VCMO,VCMO | Fractional marketing leadership specialist | UK | [vcmo.uk](https://www.vcmo.uk/) | **Benchmark/guide only**; public rates guidance but provider engagement is scope-led citeturn13search0turn13search1 | [UK fractional CMO cost guide](https://www.vcmo.uk/resource/how-much-does-a-fractional-,chatgpt-discovery
Mateerz,"Mateerz | Fractional/interim executive network | London, Paris, Barcelona and European markets | [mateerz.com](https://mateerz.com/) | **Yes, provider/service / marketplace** citeturn13search6turn13search14 | [Pricing](https://mateerz.com/en/pricing/)",chatgpt-discovery
InnoMaker Partners,"InnoMaker Partners | Fractional CMO consultancy | Budapest / Europe | [innomakerpartners.com](https://www.innomakerpartners.com/) | **Benchmark/guide only**, not counted as a fixed provider quote | [European fractional CMO cost guide](https://www.innomakerpartners.com/how-much-does-a-fractional-cmo-",chatgpt-discovery
The Marketing Centre,The Marketing Centre | Fractional marketing-director / CMO network | UK | [themarketingcentre.com](https://www.themarketingcentre.com/) | No public pricing found | ,chatgpt-discovery
Kalungi,Kalungi | B2B SaaS marketing agency and fractional CMO | U.S. / international SaaS | [kalungi.com](https://www.kalungi.com/) | No public provider-specific fractional-CMO pricing found | ,chatgpt-discovery
NoGood,NoGood | Growth agency / fractional marketing leadership | U.S. | [nogood.io](https://nogood.io/) | No public fractional-CMO pricing found | ,chatgpt-discovery
Chief Outsiders,Chief Outsiders | Fractional CMO and CRO network | U.S. | [chiefoutsiders.com](https://www.chiefoutsiders.com/) | No public provider-specific CMO price found | ,chatgpt-discovery
Orr Consulting,Orr Consulting | Boutique marketing leadership | U.S. | [orr-consulting.com](https://www.orr-consulting.com/) | No public pricing found | ,chatgpt-discovery
KNB Communications,"KNB Communications | Communications and marketing, health and life sciences | U.S. | [knbcomm.com](https://www.knbcomm.com/) | No public pricing found | ",chatgpt-discovery
The Source Approach,The Source Approach | Ecommerce / Amazon marketing niche | U.S. | [sourceapproach.com](https://www.sourceapproach.com/) | No public pricing found | ,chatgpt-discovery
Fractional Law Firm CMO,Fractional Law Firm CMO | Legal-industry fractional CMO niche | U.S. | [fractionallawfirmcmo.com](https://www.fractionallawfirmcmo.com/) | No public pricing found | ,chatgpt-discovery
Marketri,Marketri | B2B and PE-backed marketing leadership | U.S. | [marketri.com](https://marketri.com/) | No public pricing found | ,chatgpt-discovery
GrowTal,GrowTal | Marketing-talent marketplace | U.S. / global | [growtal.com](https://www.growtal.com/) | No public fractional-CMO pricing found | ,chatgpt-discovery
Algocentric,Algocentric | B2B growth / fractional CMO boutique | North America / remote | [algocentricdigital.com](https://algocentricdigital.com/) | No public pricing found | ,chatgpt-discovery
CMOx,CMOx | Fractional CMO firm | U.S. | [cmox.co](https://cmox.co/) | No public pricing found | ,chatgpt-discovery
CMOvate,CMOvate | Fractional CMO / growth consultancy | U.S.; healthcare and medtech orientation | [cmovate.com](https://www.cmovate.com/) | No public pricing found | ,chatgpt-discovery
iytro,iytro | Fractional marketing / growth collective | France / Europe | [iytro.io](https://www.iytro.io/) | No public pricing found | ,chatgpt-discovery
Open Velocity,Open Velocity | Fractional marketing strategy consultancy | UK | [openvelocity.com](https://openvelocity.com/) | No public first-party pricing found | ,chatgpt-discovery
gigCMO,gigCMO | Fractional CMO network / platform | UK | [gigcmo.com](https://www.gigcmo.com/) | No public pricing found | ,chatgpt-discovery
Bubblegum Marketing,Bubblegum Marketing | Agency with fractional CMO service | Australia | [bubblegummarketing.com](https://bubblegummarketing.com/) | No public pricing found | ,chatgpt-discovery
The Work Crowd,"The Work Crowd | Freelance / fractional talent marketplace | UK, Europe, U.S., UAE | [theworkcrowd.com](https://theworkcrowd.com/) | No public fractional-CMO rate found | ",chatgpt-discovery
The Edwards Practice,"The Edwards Practice | Independent-led operations consultancy | UK | [theedwardspractice.com](https://www.theedwardspractice.com/) | **Yes, provider/service** citeturn5search1 | [Fractional COO cost UK](https://www.theedwardspractice.com/resources/fractional-coo-cost-uk)",chatgpt-discovery
The Boutique COO,"The Boutique COO | Specialist fractional COO boutique | U.S. / remote | [theboutiquecoo.com](https://www.theboutiquecoo.com/) | **Yes, provider/service** citeturn5search4 | [Fractional COO service and rate](https://www.theboutiquecoo.com/fractional-coo)",chatgpt-discovery
COO Fractional,"COO Fractional | Specialist fractional COO provider | Europe | [coofractional.com](https://coofractional.com/) | **Yes, provider/service** citeturn5search14 | [Cost](https://coofractional.com/cost)",chatgpt-discovery
Kamyar Shah,"Kamyar Shah | Independent fractional COO / operations executive | U.S. | [kamyarshah.com](https://kamyarshah.com/) | **Yes, provider/service** citeturn0search19 | [Fractional COO rates and cost](https://kamyarshah.com/fractional-coo-rates-cost-breakdown/)",chatgpt-discovery
Leadership Services,"Leadership Services | Fractional leadership firm | UK | [leadership-services.co.uk](https://leadership-services.co.uk/) | **Yes, provider/service** citeturn5search17 | [2026 rate report](https://leadership-services.co.uk/rate-report-2026/)",chatgpt-discovery
Fractional.quest,Fractional.quest | Fractional jobs / directory hub | UK / global | [fractional.quest](https://fractional.quest/) | **Benchmark/job-rate guide only** citeturn5search26 | [Fractional COO jobs and UK rates](https://fractional.quest/fractional-coo-jobs-uk),chatgpt-discovery
Intero Solutions,Intero Solutions | Fractional operations consultancy | Canada | [interosolutions.ca](https://interosolutions.ca/) | No public pricing found | ,chatgpt-discovery
ScaleUpExec,"ScaleUpExec | Fractional operating-executive consultancy | U.S. | [scaleupexec.com](https://scaleupexec.com/) | **Benchmark/guide only**, no clearly stated own price | [Fractional COO rates guide](https://scaleupexec.com/fractional-coo-rates/)",chatgpt-discovery
Simon Wakeman,Simon Wakeman | Independent fractional COO | UK | [simonwakeman.com](https://www.simonwakeman.com/) | No public pricing found | ,chatgpt-discovery
JW Consulting / Fraction COO,"JW Consulting / Fraction COO | Fractional COO, ecommerce / product operations | UK | [fractioncoo.co.uk](https://fractioncoo.co.uk/) | No public pricing found | ",chatgpt-discovery
We Curate,We Curate | Operational consulting for beauty brands | Beauty-industry niche | [we-curate.com](https://we-curate.com/) | No public pricing found | ,chatgpt-discovery
Rae Business Management,"Rae Business Management | Fractional operations / COO consultancy | U.S. / remote | [raebusinessmanagement.com](https://www.raebusinessmanagement.com/) | **Benchmark/guide only**, no clearly stated own price | [Fractional COO rates guide](https://www.raebusinessmanagement.com/blog/fractional-coo-rat",chatgpt-discovery
Ken Yarmosh,"Ken Yarmosh | Independent fractional executive | U.S. | [kenyarmosh.com](https://kenyarmosh.com/) | **Benchmark/guide only**, no clearly stated own price | [Fractional COO rates guide](https://kenyarmosh.com/blog/fractional-coo-rates/)",chatgpt-discovery
ECA Partners,ECA Partners | Executive search / interim leadership | U.S. | [eca-partners.com](https://www.eca-partners.com/) | No public pricing found | ,chatgpt-discovery
Connectd,Connectd | Startup fractional-talent platform | UK / international | [connectd.com](https://www.connectd.com/) | No public pricing found | ,chatgpt-discovery
Exec Capital,"Exec Capital | Executive search / fractional leadership | UK | [execcapital.co.uk](https://www.execcapital.co.uk/) | **Benchmark/guide only**, no clear provider engagement tariff | [Fractional COO](https://www.execcapital.co.uk/fractional-coo)",chatgpt-discovery
Fractional Execs,Fractional Execs | Fractional-executive network | UK | [fractional-execs.co.uk](https://www.fractional-execs.co.uk/) | No public pricing found | ,chatgpt-discovery
Altus CXO,Altus CXO | Fractional executive services | U.S. | [altuscxo.com](https://altuscxo.com/) | No public pricing found | ,chatgpt-discovery
Cerius Executives,Cerius Executives | Interim and fractional executive firm | U.S. | [ceriusexecutives.com](https://ceriusexecutives.com/) | No public pricing found | ,chatgpt-discovery
Livain,"Livain | Fractional / interim executive advisory | Switzerland / international | [livain.com](https://www.livain.com/) | **Benchmark/guide only**, not counted as an own COO tariff | [Fractional executive cost guide](https://www.livain.com/blog/how-much-does-a-fractional-executive-cost-2/)",chatgpt-discovery
GrowthExpert,"GrowthExpert | Expert marketplace | Global | [growthexpert.io](https://growthexpert.io/) | **Yes, marketplace talent** citeturn6search7 | [Fractional CRO listings and rates](https://growthexpert.io/fractional-chief-revenue-officers/)",chatgpt-discovery
Humiint,"Humiint | Executive / expert marketplace | Global | [humiint.com](https://www.humiint.com/) | **Yes, marketplace talent**; individual CRO listings can expose rates citeturn6search8 | [Example public fractional CRO listing](https://www.humiint.com/l/683a195b-b223-4c74-a378-2b711de47c59)",chatgpt-discovery
Shepherd,"Shepherd | Fractional-leadership marketplace / network | U.S. / remote | [heyshepherd.com](https://www.heyshepherd.com/) | **Yes, marketplace/service rates** citeturn6search15 | [Fractional CRO](https://www.heyshepherd.com/explore/fractional-roles/fractional-chief-revenue-officer-cro)",chatgpt-discovery
Fractionista,"Fractionista | Fractional executive marketplace | Europe | [fractionista.com](https://fractionista.com/) | **Yes, marketplace/service rates** citeturn6search25 | [Hire a fractional CRO](https://fractionista.com/hire/cro/)",chatgpt-discovery
UNFYS,"UNFYS | Fractional commercial leadership boutique | UK, working across Europe | [unfys.com](https://unfys.com/) | **Yes, provider/service** citeturn13search15turn13search19 | [Services and transparent starting fees](https://unfys.com/services/)",chatgpt-discovery
Chameleon Collective,Chameleon Collective | Fractional executive / growth collective | U.S. / global | [chameleoncollective.com](https://chameleoncollective.com/) | No public exact price found; engagement is scoped citeturn6search4 | ,chatgpt-discovery
Mahdlo Executive Advisors,"Mahdlo Executive Advisors | Fractional CMO/CRO firm, PE, healthcare, SaaS and other sectors | U.S. | [mahdlo.net](https://www.mahdlo.net/) | No public exact CRO amount found; site says investment is scoped per engagement citeturn15search0turn13search20 | ",chatgpt-discovery
Fractional-CRO.com,"Fractional-CRO.com | Specialist fractional CRO practice | North America | [fractional-cro.com](https://fractional-cro.com/) | **Benchmark/guide only**, not clearly its own quoted tariff | [Cost-model guide](https://fractional-cro.com/understanding-fractional-cro-cost-models-fees-and-roi/)",chatgpt-discovery
FractionalCRO UK,FractionalCRO UK | Specialist fractional CRO practice | UK | [fractionalcro.co.uk](https://fractionalcro.co.uk/) | No public pricing found | ,chatgpt-discovery
FBS Consulting,"FBS Consulting | Independent fractional CRO, B2B manufacturers | Gold Coast / Australia | [fbsconsulting.com.au](https://fbsconsulting.com.au/) | No public pricing found | ",chatgpt-discovery
Vation Ventures,Vation Ventures | Revenue / growth consultancy | U.S. | [vationventures.com](https://www.vationventures.com/) | No public pricing found | ,chatgpt-discovery
Oakstone,Oakstone | Executive search / commercial leadership | UK | [oakstone.co.uk](https://www.oakstone.co.uk/) | No public pricing found | ,chatgpt-discovery
ReVAmp Revenue,ReVAmp Revenue | Fractional revenue consultancy | UK | [revampconsulting.co.uk](https://www.revampconsulting.co.uk/) | No public pricing found | ,chatgpt-discovery
GroWorth,GroWorth | Revenue / commercial-growth consultancy | UK | [groworth.co.uk](https://www.groworth.co.uk/) | No public pricing found | ,chatgpt-discovery
Scalewise,"Scalewise | Fractional growth / revenue leadership, B2B SaaS | UK | [scalewise.com](https://www.scalewise.com/) | No public pricing found | ",chatgpt-discovery
Trinity Hawk,Trinity Hawk | Fractional commercial / revenue leadership | UK | [trinityhawk.co.uk](https://www.trinityhawk.co.uk/) | No public pricing found | ,chatgpt-discovery
Accsellerate,Accsellerate | Fractional sales / revenue leadership | UK | [accsellerate.co.uk](https://www.accsellerate.co.uk/) | No public pricing found | ,chatgpt-discovery
Sales Xceleration,Sales Xceleration | Outsourced / fractional sales-leadership network | U.S. | [salesxceleration.com](https://salesxceleration.com/) | No public engagement pricing found citeturn15search6 | ,chatgpt-discovery
SalesQB,SalesQB | Fractional sales-leadership / coaching network | U.S. | [salesqb.com](https://salesqb.com/) | No public exact rate found; marketplace research describes varying retainers citeturn15search6 | ,chatgpt-discovery
Skaled,Skaled | B2B sales consultancy with fractional leadership | U.S. | [skaled.com](https://skaled.com/) | No public fractional-leadership price found citeturn15search6 | ,chatgpt-discovery
ActivatedScale,ActivatedScale | Startup sales-talent / fractional sales platform | U.S. / remote | [activatedscale.com](https://www.activatedscale.com/) | No public CRO price found | ,chatgpt-discovery
CRO2go,CRO2go | Fractional CRO boutique | Switzerland / Continental Europe | [cro2go.ch](https://cro2go.ch/) | No public pricing found citeturn15search1turn15search7 | ,chatgpt-discovery
Silver Summit Advisory,"Silver Summit Advisory | Independent specialist, FinTech / RegTech / SupTech | UK / European market | [silversummit.co.uk](https://www.silversummit.co.uk/) | No public pricing found citeturn15search5 | ",chatgpt-discovery
UX Continuum,"UX Continuum | [uxcontinuum.com](https://uxcontinuum.com) | [Yes](https://uxcontinuum.com/fractional-cto-pricing) | $3,000 - $15,000/mo (Partner tier); $500 - $1,500/mo (Care tier)1.",gemini-discovery
CTO On Demand,"CTO On Demand | [ctoondemand.com](https://ctoondemand.com) | [Yes](https://ctoondemand.com/fractional-cto-cost) | $200 - $400/hr; $5,000 - $15,000/mo retainer3.",gemini-discovery
Seesaw Labs,Seesaw Labs | [seesawlabs.com](https://seesawlabs.com) | [Yes](https://seesawlabs.com/the-lab/guides/fractional-cto-cost-in-2026) | $120 - $300/hr based on accountability20.,gemini-discovery
Startup Fractional CTO PLLC,Startup Fractional CTO PLLC | [startupfractionalcto.com](https://www.startupfractionalcto.com) | [Yes](https://www.startupfractionalcto.com/pricing) | $250/hr (10% discount for 10-hr blocks)21.,gemini-discovery
Martin Sandhu,"Martin Sandhu | [martinsandhu.com](https://www.martinsandhu.com) | [Yes](https://www.martinsandhu.com/blog/fractional-cto-salary) | £1,000 - £2,500/day; £6,000 - £7,500/mo for 1 day/week2.",gemini-discovery
Fractional CTO Experts,"Fractional CTO Experts | [fractionalctoexperts.com](https://fractionalctoexperts.com) | [Yes](https://fractionalctoexperts.com/blog/fractional-cto-pricing-guide) | Mentions typical ranges of $100 - $600/hr; $8,000 - $20,000/mo17.",gemini-discovery
TLVTech,"TLVTech | [tlvtech.io](https://www.tlvtech.io) | [Yes](https://www.tlvtech.io/post/understanding-fractional-cto-rates-a-guide-for-entrepreneurs-and-business-leaders) | $150 - $500/hr; $3,000 - $10,000+/mo retainers22.",gemini-discovery
